Rank,Highest,Highest Date,Highest ONI Mode,Lowest,Lowest Date,Lowest ONI Mode,Zone,ONI max,ONI min
1,0.457,2023-10-30 15:00,El Nino,-0.856,2011-03-12 00:00,La Nina,GMT,1.92,-0.93
2,0.407,2020-12-15 15:00,La Nina,-0.806,2010-02-28 07:00,El Nino,GMT,-1.19,1.22
3,0.405,2017-07-23 02:00,Neutral,-0.798,2010-03-05 22:00,El Nino,GMT,0.14,0.84
4,0.402,2021-12-05 15:00,La Nina,-0.773,2000-01-21 07:00,La Nina,GMT,-0.98,-1.66
5,0.394,2023-08-30 01:00,El Nino,-0.769,2002-02-27 07:00,Neutral,GMT,1.32,0.03
6,0.388,2016-06-05 02:00,Neutral,-0.765,1993-11-15 07:00,Neutral,GMT,-0.07,0.04
7,0.388,2017-08-21 01:00,Neutral,-0.765,1994-02-06 03:00,Neutral,GMT,-0.11,0.07
8,0.385,2006-11-06 14:00,El Nino,-0.761,1993-11-12 05:00,Neutral,GMT,0.94,0.04
9,0.385,2015-07-03 03:00,El Nino,-0.761,1993-12-14 07:00,Neutral,GMT,1.52,0.06
10,0.383,2019-12-25 14:00,Neutral,-0.761,1994-02-03 00:00,Neutral,GMT,0.55,0.07
